"財團法人彭婉如文教基金會附設高雄市私立平等非營利幼兒園(高雄市政府委託辦理)
圖書清冊",,,,,,,,,,
圖書分類代號別：藍色-->繪本(美感)  紅色-->身體健康(飲食、保健) 黃色-->語文類   (生命教育類)             綠色-->自然科學類  粉紅色-->社會(社區類)  紫色-->性別教育    淺藍色-->情緒,,,,,,,,,,
數量,編碼,圖書分類,書名,出版社,單位,數量,備註,分類,,
148,007-4-07-EA-148,繪本,殼斗村的麵包店,維京,本,1,105.08購入,藍色,,
149,007-4-07-EA-149,繪本,殼斗村的警察叔叔,維京,本,1,105.08購入,藍色,,
150,007-4-07-EA-150,健康,鱷魚艾倫又大又可怕的牙齒,維京,本,1,105.08購入,紅色,,
151,007-4-07-EA-151,繪本,小小救援隊，出動！,親子天下,本,1,105.08購入,藍色,,
152,007-4-07-EA-152,繪本,市場街最後一站,小天下,本,1,105.08購入,藍色,,
153,007-4-07-EA-153,健康,我不要打針,小熊出版,本,1,105.08購入,紅色,,
154,007-4-07-EA-154,情緒,勇敢的消防車,小熊出版,本,1,105.08購入,黃色,,
155,007-4-07-EA-155,健康,刷牙，牙不痛,格林,本,1,105.09購入,紅色,,
156,007-4-07-EA-156,繪本,颱風那一天,格林,本,1,105.09購入,藍色,,
157,007-4-07-EA-157,生命教育,爺爺有沒有穿西裝？,格林,本,1,105.09購入,黃色,,
158,007-4-07-EA-158,繪本,阿比忘了什麼？,格林,本,1,105.09購入,藍色,,
159,007-4-07-EA-159,情緒,大吼大叫的企鵝媽媽,親子天下,本,1,105.09購入,淺藍色,,
160,007-4-07-EA-160,繪本,沒關係，沒關係,親子天下,本,1,105.09購入,藍色,,
161,007-4-07-EA-161,健康,食物哪裡來？美食旅行團出發！,小天下,本,1,105.09購入,紅色,,
162,007-4-07-EA-162,生命教育,獾的禮物,遠流,本,1,105.09購入,黃色,,
163,007-4-07-EA-163,生命教育,想念外公,遠流,本,1,105.09購入,黃色,,
164,007-4-07-EA-164,社會,10件事我做了，世界會更好,青林 ,本,1,105.09購入,粉紅色,,
